label;birth date;death date
Elwood Buchanan;1907-01-26;1990-05-21
Elías M. Soto;1858-09-22;1944-10-11
Emad Ram;1931-03-02;2003-05-24
Emanuel Chvála;1851-01-01;1924-10-28
Emanuel Hurwitz;1919-05-07;2006-11-19
Emanuel Levenson;1916-08-02;1998-06-09
Emanuel List;1888-03-22;1967-06-21
Emanuel Paul;1904-02-02;1988-05-23
Emanuel Sayles;1907-01-31;1986-10-05
Emanuel Vardi;1915-04-21;2011-01-29
Emanuel Wirth;1842-10-18;1923-01-05
Emigdio Ayala Báez;1917-08-05;1993-02-24
Emil Bohnke;1888-10-11;1928-05-11
Emil Burian;1876-12-12;1926-10-09
Emil Dimitrov;1940-12-23;2005-03-30
Emil František Burian;1904-06-11;1959-08-09
Emil Gorovets;1923-06-10;2001-08-17
Emil Hertzka;1869-08-03;1932-05-09
Emil Hájek;1886-03-03;1974-03-17
Emil Kreuz;1867-05-25;1932-12-03
Emil Lask;1875-09-25;1915-05-26
Emil Mollenhauer;1855-08-04;1927-12-10
Emil Młynarski;1870-07-18;1935-04-05
Emil Newman;1911-01-20;1984-08-30
Emil Oberhoffer;1867-08-10;1933-05-22
Emil Pollert;1877-01-20;1935-10-23
Emil Reesen;1887-05-30;1964-03-27
Emil Scaria;1838-09-18;1886-07-23
Emil Sjögren;1853-06-16;1918-03-01
Emile Christian;1895-04-20;1973-12-03
Emile Renan;1913-06-28;2001-12-08
Emili Salut Payà;1918-11-13;1982-05-16
Emilia Gubitosi;1887-02-03;1972-01-17
Emilia Uggla;1819-02-24;1855-02-15
Emiliano R. Fernández;1894-08-08;1949-09-15
Emilie Hammarskjöld;1821-05-06;1854-03-26
Emilie Zumsteeg;1796-12-09;1857-08-01
Emilinha Borba;1923-08-31;1923-08-31
Emilio Aragón Bermúdez;1929-11-04;2012-11-18
Emilio Bigi;1910-07-01;1969-05-28
Emilio Bobadilla Cáceres;1907-03-03;1979-03-21
Emilio De Marchi;1861-01-06;1917-03-20
Emilio Pericoli;1928-01-07;2013-04-09
Emilio Usiglio;1841-01-08;1910-07-07
Emilio Villareal;1920-12-21;2011-09-12
Emilios Riadis;1885-05-13;1935-07-17
Emilis Melngailis;1874-02-15;1954-12-20
Emilius Bangert;1883-08-19;1962-08-19
Emily Daymond;1866-07-11;1949-10-10
Emily Remler;1957-09-18;1990-05-04
Emin Sabitoglu;1937-11-02;2000-11-18
Emma Carelli;1877-05-12;1928-08-17
Emma Carus;1879-03-18;1927-11-18
Emma Cecilia Thursby;1845-02-21;1931-07-04
Emma Fursch-Madi;None;1894-09-21
Emma Luart;1892-08-14;1968-08-26
Emma Maria Macfarren;1824-06-19;1895-11-09
Emma Nevada;1859-02-07;1940-06-20
Emma Ray McKay;1877-06-23;1970-11-14
Emmanuel-Marie Blain de Saint-Aubin;1833-06-30;1883-07-09
Emmanuel Dupaty;1775-07-31;1851-07-30
Emmanuel Nunes;1941-08-31;2012-09-02
Emmeline Mary Dogherty Woolley;None;1908-03-18
Emmett Berry;1915-07-23;1993-06-22
Emmett Hardy;1903-06-12;1925-06-16
Emmy (Albanian singer);1989-03-15;2011-02-28
Emmy Krüger;1886-11-27;1976-03-13
Emmy Köhler;1858-05-22;1925-02-02
Emmy Loose;1914-01-22;1987-10-14
Empompo Loway;None;1990-01-21
Emánuel Moór;1863-02-19;1931-10-20
Emílio Santiago;1946-12-06;2013-03-20
Emīls Dārziņš;1875-11-03;1910-08-31
Ena Baga;1906-01-05;2004-07-15
Endre Wolf;1913-11-06;2011-03-29
Engel Lund;1900-07-14;1996-06-15
Enid Watkins;1890-07-23;1971-01-05
Ennio Porrino;1910-01-20;1959-09-25
Enoch Sontonga;None;1905-04-18
Enric Casals;1892-07-26;1986-07-31
Enric Madriguera;1904-02-17;1973-09-07
Enrico Bandini;1807-09-13;1888-02-27
Enrico Banducci;1922-02-17;2007-10-09
Enrico Bevignani;1841-09-29;1903-08-29
Enrico Brunetti;1862-05-22;1927-01-21
Enrico Caruso;1873-02-25;1921-08-02
Enrico Delle Sedie;1822-06-17;1907-11-28
Enrico Di Giuseppe;1932-10-14;2005-12-31
Enrico Mainardi;1897-05-19;1976-04-10
Enrico Polo;1868-11-18;1953-12-03
Enrico Rosenbaum;None;1979-09-10
Enrico Tamberlik;1820-03-16;1889-03-13
Enriko Josif;1924-05-01;2003-03-13
Enrique Delgado Montes;1939-03-14;1996-03-21
Enrique Espín Yépez;1926-11-19;1997-05-21
Enrique Gimeno;1929-07-28;2007-11-03
Enrique González La Pulga;None;1957-01-01
Enrique Jorrín;1926-12-25;1987-12-12
Enrique Maciel;1897-07-13;1962-01-24
Enrique Morente;1942-12-25;2010-12-13
Enrique Peña Sánchez;1880-07-17;1922-04-13
Enrique Santos Discépolo;1901-03-27;1951-12-23
Enrique el Mellizo;1848-12-01;1906-05-30
Enzo Jannacci;1935-06-03;2013-03-29
Enzo Mascherini;None;1981-07-29
Enzo Muccetti;1912-06-29;1977-03-24
Enzo Stuarti;1919-03-03;2005-12-16
Eon (musician);1954-09-22;2009-06-17
E-Sir;1981-05-20;2003-03-16
E.A. Couturier;1869-09-30;1950-02-28
E.D.I. Mean;1974-07-07;2010-09-21
E.H. Roelfzema;1947-02-17;2010-02-11
E. A. Mario;None;1961-06-24
E. A. Richardson;1886-04-30;1965-09-17
E. L. B. Hurulle;1919-01-19;2009-04-06
E. M. Subramaniam;None;2015-04-23
E. O. Excell;1851-12-13;1921-06-10
E. Robert Schmitz;1889-02-08;1949-09-05
E. T. Mensah;1919-05-31;1996-07-19
Ean Evans;1960-09-16;2009-05-06
Earl Bostic;1912-04-25;1965-10-28
Earl Burtnett;1896-02-07;1936-01-02
Earl Carroll (vocalist);1937-11-02;2012-11-25
Earl Carruthers;1910-05-27;1971-04-05
Earl Coleman (singer);1925-08-12;1995-07-12
Earl Gaines;1935-08-19;2009-12-31
Earl Hines;1903-12-28;1983-04-22
Earl Hooker;1929-01-15;1970-04-21
Earl Humphrey;1902-09-09;1971-06-26
Earl Johnson (fiddler);1886-08-24;1965-05-31
Earl King;1934-02-07;2003-04-17
Earl Palmer;1924-10-25;2008-09-19
Earl Scruggs;1924-01-06;2012-03-28
Earl Swope;None;1968-01-02
Earl Washington (musician);1921-04-03;1975-06-18
Earl Wentz;1938-03-22;2009-11-15
Earl Wrightson;1916-01-01;1993-03-07
Earl Zindars;1927-09-25;2005-08-15
Earle Dickson;1892-10-10;1961-09-21
Earle Warren;1914-07-01;1994-06-04
Earlene Risinger;1927-03-20;2008-07-29
Early B;1957-02-28;1994-09-11
Eartha Kitt;1927-01-17;2008-12-25
Eazy-E;1964-09-07;1995-03-26
Ebanda Manfred;1935-12-02;2003-09-03
Ebenezer Beesley;1840-12-14;1906-03-21
Ebenezer Prout;1835-03-01;1909-12-01
Ebisa Adunya;None;1996-08-30
Eck Robertson;1887-11-20;1975-02-15
Ed Allen (musician);1897-12-15;1974-01-28
Ed Bishop;1932-06-11;2005-06-08
Ed Blackwell;1929-10-10;1992-10-07
Ed Burke (musician);1909-01-13;1988-04-19
Ed Cassidy;1923-05-04;2012-12-06
Ed Cuffee;1902-06-07;1959-01-03
Ephraim Amu;1899-09-13;1995-01-02
Ephraim Lewis;None;1994-03-18
Epic Soundtracks;1959-03-23;1997-11-06
Epifanio Méndez Fleitas;1917-04-07;1985-11-22
Era Ojdanić;1947-12-13;2015-04-03
Ercole Bernabei;None;1687-12-05
Erhard Egidi;1929-04-23;2014-09-08
Erhard Karkoschka;1923-03-06;2009-06-26
Erhard Mauersberger;1903-12-29;1982-12-11
Eria Fachin;1960-04-20;1996-05-09
Eric Bingy Bunny Lamont;None;1993-12-31
Eric Allandale;1936-03-04;2001-08-23
Eric Boswell (songwriter);1921-07-18;2009-11-29
Eric Carr;1950-07-12;1991-11-24
Eric Dixon;1930-03-28;1989-10-19
Eric Dolphy;1928-06-20;1964-06-29
Eric Douglas;1958-06-21;2004-07-06
Eric Gale;1938-09-20;1994-05-25
Eric Hope;1915-01-17;1999-08-02
Eric Lewis (actor);1855-10-23;1935-04-01
Eric Philpott;None;2015-12-25
Eric Roche;1967-12-04;2005-09-06
Eric Sams;1926-05-03;2004-09-13
Eric Siday;1905-11-01;1976-03-25
Eric Stokes (composer);None;1999-03-16
Eric Thiman;1900-09-12;1975-02-13
Eric Von Essen;1954-06-30;1997-08-14
Eric Von Schmidt;1931-05-28;2007-02-02
Eric Winstone;['1913-01-01', '1915-01-01'];1974-02-05
Eric Woolfson;1945-03-18;2009-12-02
Eric Wrixon;1947-06-29;2015-07-13
Erich Bergel;1930-06-01;1998-05-03
Erich Hohagen;1915-01-09;1990-03-08
Erich Katz;1900-07-31;1973-07-30
Erich Kunz;1909-05-20;1995-09-08
Erich Kunzel;1935-03-21;2009-09-01
Erich Liffmann;1914-09-22;1987-06-11
Erick Friedman;1939-08-14;2004-03-30
Erik Amundsen;1937-02-01;2015-02-22
Erik Brann;1950-08-11;2003-07-25
Erik Brødreskift;1969-12-23;1999-10-04
Erik Darling;1933-09-25;2008-08-03
Erik Kurmangaliev;1959-12-31;2007-11-13
Erik Schmedes;1868-08-27;1931-03-23
Erika Köth;1927-09-15;1989-02-21
Erika Morini;1904-01-05;1995-10-31
Erika Nissen;1845-01-17;1903-10-27
Erin Lordan;1963-11-08;2005-02-26
Erkki Ala-Könni;1911-02-02;1996-09-02
Erkki Junkkarinen;1929-04-22;2008-04-09
Erline Harris;1914-04-05;2004-01-06
Erling Kroner;1943-04-16;2011-03-02
Erling Stordahl;1923-08-01;1994-10-31
Erma Franklin;1938-03-13;2002-09-07
Ernest Doc Paulin;1907-06-22;2007-11-20
Ernest Albert Frederick Jenner;1892-08-08;1971-04-07
Ernest Ashworth;1928-12-15;2009-03-02
Ernest Blanc;1923-11-01;2010-12-22
Ernest Bullock;1890-09-15;1979-05-24
Ernest Charles;1895-11-21;1984-04-16
Ernest Douwes Dekker;1879-10-08;1950-08-28
Ernest Flagg;1857-02-06;1947-04-10
Ernest Fleischmann;1924-12-07;2010-06-13
Ernest G. Eberhard;1839-05-30;1910-01-16
Ernest G. McClain;1918-08-06;2014-04-25
Ernest Hill (musician);1900-03-14;1964-09-16
Ernest Lawlars;1900-05-18;1961-11-14
Ernest Lehman;1915-12-08;2005-07-02
Ernest Lough;1911-11-17;2000-02-22
Ernest McChesney;1912-07-22;1991-07-25
Ernest McLean;1926-06-21;2012-02-24
Ernest Read;1879-02-22;1965-10-09
Ernest Seitz;1892-02-29;1978-09-10
Ernest Stoneman;1893-05-25;1968-06-14
Ernest Tidyman;1928-01-01;1984-07-14
Ernest Tubb;1914-02-09;1984-09-06
Ernest Whitfield 1st Baron Kenswood;1887-09-15;1963-09-21
Ernest van Dyck;1861-04-02;1923-08-31
Ernest van der Eyken;1913-07-23;2010-02-06
Ernesto Badini;None;1937-07-06
Ernesto De Curtis;1875-10-04;1937-12-31
Ernesto De Pascale;1958-02-13;2011-02-12
Ernesto Köhler;1849-12-04;1907-03-17
Ernesto Nazareth;1863-03-20;1934-02-05
Ernesto Nicolini;1834-02-23;1898-01-19
Ernesto Tamayo;1971-09-18;2014-10-17
Ernests Vīgners;1850-01-18;1933-05-25
Ernie Ball;1930-08-30;2004-09-09
Ernie Carpenter;1907-04-10;1997-01-23
Ernie Carson;1937-12-04;2012-01-09
Ernie Farrow;1928-11-13;1969-07-14
Ernie Fields;1904-08-28;['1997-05-01', '1997-05-11']
Ernie Freeman;1922-08-16;1981-05-16
Ernie Graham;1946-06-14;2001-04-27
Ernie Henry;1926-09-03;1957-12-29
Ernie K-Doe;1936-02-22;2001-07-05
Ernie Lancaster;1953-11-30;2014-07-17
Ernie Maresca;1938-08-21;2015-07-08
Ernie Newton (actor);1925-10-02;1996-04-04
Ernie Royal;1921-06-02;1983-03-16
Ernie Wilkins;1922-07-20;1999-06-05
Ernst Anschütz;1780-10-28;1861-12-18
Ernst Fischer (composer);1900-04-10;1975-07-10
Ernst Glaser;1904-02-24;1979-04-03
Ernst Grönlund;1902-12-18;1968-02-13
Ernst Haberbier;1813-10-05;1869-03-12
Ernst Jedliczka;1855-05-24;1904-08-03
Ernst Mach;1838-02-18;1916-02-19
Ernst Michael Mangel;None;1887-01-13
Ernst Mosch;1925-11-07;1999-05-15
Ernst Perabo;1845-11-14;1920-10-29
Ernst Roth;1896-06-01;1971-07-17
Ernst Uebel;1882-06-09;1959-11-11
Ernst Wallfisch;1920-05-27;1979-05-08
Ernst von Bandel;1800-05-17;1876-09-25
Ernő Lendvai;1925-02-06;1993-01-31
Erol Büyükburç;1936-03-22;2015-03-12
Errol Brown;None;2015-05-06
Errol Scorcher;None;2012-01-19
Errol Thompson (audio engineer);1948-12-29;2004-11-13
Erroll Garner;1921-06-15;1977-01-02
Ersel Hickey;1934-06-27;2004-07-12
Erskine Butterfield;1913-02-09;1961-07-11
Erskine Hawkins;1914-07-26;1993-11-11
Erskine Tate;1895-01-14;1978-12-17
Ertuğ Ergin;1970-05-18;2012-12-14
Ervin Drake;1919-04-03;2015-01-15
Ervin Szabó;1877-08-23;1918-09-29
Ervin T. Rouse;None;1981-07-08
Erwin Halletz;1923-07-12;2008-10-27
Erwin Lehn;1919-06-08;2010-03-20
Erwin Noack;1940-08-04;2006-11-11
Erzsi Kovács;1928-06-02;2014-04-06
Erzsébet Házy;1929-10-01;1982-11-24
Esbjörn Svensson;1964-04-16;2008-06-14
Esin Afşar;1936-01-01;2011-11-14
Esin Engin;1945-05-17;1997-05-04
Esmeray;None;2002-03-25
Esquerita;1935-11-20;1986-10-23
Esteban Jordan;1939-02-23;2010-08-13
Esteban Salas y Castro;1725-12-25;1803-07-14
Estelle Bennett;1941-07-22;2009-02-11
Estelle Reiner;1914-06-05;2008-10-25
Estelle Yancey;1896-01-01;1986-04-19
Ester Soré;1915-05-27;1996-09-06
Esther Ballou;1915-07-17;1973-03-12
Esther Gordy Edwards;1920-04-25;2011-08-24
Esther Lekain;1870-04-01;1960-03-02
Esther Phillips;1935-12-23;1984-08-07
Esther Réthy;1912-10-22;2004-01-28
Esther Walker;1894-10-18;1943-07-26
Estil C. Ball;1913-10-01;1978-07-14
Estrellita Castro;1908-06-26;1983-07-10
Esy Morales;1917-03-03;1950-11-02
Eta Cohen;None;2012-12-06
Ethel Azama;1934-08-28;1984-03-07
Ethel Cooper;1871-12-25;1961-05-25
Ethel Finnie;1898-01-07;1981-05-01
Ethel Hobday;1872-11-28;1947-07-10
Ethel Pedley;1859-06-19;1898-08-06
Ethel Shutta;1896-12-01;1976-02-05
Ethel Stark;1910-08-25;2012-02-16
Ethel Waters;1896-10-31;1977-09-01
Etta Baker;1913-03-31;2006-09-23
Etta Cameron;1939-11-21;2010-03-04
Etta James;1938-01-25;2012-01-20
Etta Jones;1928-11-25;2001-10-16
Ettore Campogalliani;1903-09-30;1992-06-03
Eubie Blake;1887-02-07;1983-02-12
Euday L. Bowman;1887-11-09;1949-05-26
Eugen Bircher;1882-02-17;1956-10-20
Eugen Cicero;1940-06-27;1997-12-05
Eugen Malmstén;1907-02-16;1993-09-01
Eugene Church;1938-01-23;1993-04-03
Eugene Conley;1908-03-12;1981-12-18
Eugene Haynes;None;2007-02-05
Eugene Lacritz;1929-11-16;2012-05-18
Eugene Lehner;None;1997-09-13
Eugene Smith (singer);1921-04-22;2009-05-09
Eugene Stratton;1861-05-08;1918-09-15
Eugenia Tadolini;None;1872-07-11
Eugenia Umińska;1910-10-04;1980-11-20
Eugenio Fernandi;None;1991-08-08
Eugenio Toussaint;1954-10-09;2011-02-08
Eugène Chartier;None;1963-11-01
Eugène Ketterer;1831-07-07;1870-12-18
Eugène Lapierre;1899-06-08;1970-10-21
Eugène Louis-Marie Jancourt;1815-12-15;1901-01-29
Eugène Oudin;1858-02-24;1894-11-04
Eugène Sauzay;1809-07-14;1901-01-24
Eula Beal;1919-01-25;2008-07-29
Eulalio González;['1921-12-06', '1921-12-16'];['2000-09-01', '2003-09-01']
Euronymous;1968-03-22;1993-08-10
Eusebio Delfín;1893-04-01;1965-04-28
Eva Cassidy;1963-02-02;1996-11-02
Eva Dell'Acqua;1856-02-28;1930-02-12
Eva Knardahl;1927-05-10;2006-09-03
Eva Likova;1919-12-21;2004-03-15
Eva Nansen;1858-12-17;1907-12-09
Eva Olmerová;1934-01-21;1993-08-10
Eva Tanguay;1878-08-01;1947-01-11
Eva Taylor;1895-01-22;1977-10-31
Evald Thomsen;1913-06-21;1993-05-29
Evan Gorga;1865-02-06;1957-12-05
Evan McCaskey;1965-07-07;1989-09-28
Eve Boswell;1922-05-11;1998-08-14
Evelyn Baghtcheban;None;2010-10-31
Evelyn Berckman;1900-10-18;1978-09-18
Evelyn Dall;1918-01-08;2010-03-10
Evelyn Danzig;1902-01-16;1996-07-26
Evelyn Hoey;1910-12-15;1935-09-11
Evelyn Knight (singer);1917-12-31;2007-09-28
Evelyn Parnell;1888-08-21;1939-10-09
Evelyn Scotney;1896-07-11;1967-08-05
Everett Barksdale;1910-04-28;1986-01-29
Everett Marshall (singer);1901-12-31;1965-04-03
Everett Mitchell;1898-03-15;1990-11-12
Everett Sloane;1909-10-01;1965-08-06
Evert Taube;1890-03-12;1976-01-31
Evgeniya Miroshnichenko;1931-06-12;2009-04-27
Evgeny Belyaev;1926-09-11;1994-02-21
Evie Hayes;1912-06-01;1988-12-26
Evison Matafale;None;2001-11-27
Ewa Bandrowska-Turska;1894-05-20;1979-06-25
Ewald Kleisinger;1912-06-11;2000-03-25
Ewald Kooiman;1938-06-14;2009-01-25
Ewald Straesser;1867-06-27;1933-04-04
Ewart Abner;1923-05-11;1997-12-27
Ewing Young;None;1841-02-09
Exuma (musician);1942-02-18;['1997-01-15', '1997-01-25']
Eyasu Berhe;1956-06-11;2010-01-18
Eydie Gormé;1928-08-16;2013-08-10
Eyedea;1981-11-09;2010-10-16
Eyob Mekonnen;1975-10-12;['2013-08-18', '2013-08-20']
Eyvind Solås;1937-05-11;2011-04-22
Ezio Carabella;1891-03-03;1964-04-19
Ezio Flagello;1931-01-28;2009-03-19
Ezio Pinza;1892-05-18;1957-05-09
Ezkimo;1980-02-03;2015-06-21
Ezra Cline;1907-01-13;1984-07-11
Francesco Sacrati;1605-09-17;1650-05-20
Francesco Santoliquido;1883-08-06;1971-08-26
Francesco Uttini;None;1795-10-25
Francis Bebey;1929-07-15;2001-05-28
Francis Bernard 1st Earl of Bandon;1755-11-26;1830-11-26
Francis Bernard 3rd Earl of Bandon;1810-01-03;1877-02-17
Francis Clay;1923-11-16;2008-01-21
Francis Coleman;1924-01-12;2008-04-10
Francis Dart Fenton;None;1898-04-23
Francis Essex;1929-03-24;2009-03-05
Francis Johnson (composer);1792-06-16;1844-04-06
Francis Korbay;1846-05-08;1913-03-09
Francis La Flesche;1857-12-25;1932-09-05
Francis Magalona;1964-10-04;2009-03-06
Francis Pigott;None;1704-05-15
Francis Thomé;1850-10-18;1909-11-16
Francis Younghusband;1863-05-31;1942-07-31
Francisco Aguabella;1925-10-10;2010-05-07
Francisco Avitia;1915-05-13;['1995-06-29', '1995-06-30']
Francisco Canaro;1888-11-26;1964-12-14
Francisco Casanovas;1899-10-09;1986-12-16
Francisco D'Andrade;1856-01-11;1921-02-08
Francisco Escudero (composer);1912-08-13;2002-06-17
Francisco Fellové;1923-10-07;2013-02-15
Francisco Lomuto;1893-11-24;1950-12-23
Francisco Ribeiro;1965-03-15;2010-09-14
Francisco San Diego;['1933-10-10', '1935-10-10'];2015-08-26
Francisco Santiago;1889-01-29;1947-09-28
Francisco de Caro;1898-03-23;1976-07-31
Franciszek Walicki;1921-07-20;2015-10-03
Franco Abbiati;1898-09-14;1981-01-22
Franco Bracardi;1937-05-16;2005-02-27
Franco Califano;1938-09-14;2013-03-30
Franco Lo Giudice;1893-03-14;1990-08-08
Franco Luambo Makiadi;1938-07-06;1989-10-12
Francy Boland;1929-11-06;2005-08-12
Franjo Kuhač;1834-11-20;1911-06-18
Frank Abbandando Jr.;1935-10-17;1995-12-22
Frank Aloysius Tierney;1879-04-13;1923-09-17
Frank Arsenault;1919-05-21;['1972-12-26', '1974-12-26']
Frank Bencriscutto;1928-09-21;1997-08-28
Frank Butler (musician);1928-02-18;1984-07-24
Frank C. Stanley;1868-12-29;1910-12-12
Frank Callaway;1919-05-16;2003-02-22
Frank Carter (murderer);None;1927-06-24
Frank Chacksfield;1914-05-09;1995-06-09
Frank Churchill;1901-10-20;1942-05-14
Frank Comstock;1922-09-20;2013-05-21
Frank D'Rone;1932-04-26;2013-10-03
Frank Domínguez;1927-10-09;2014-10-29
Frank Emilio Flynn;1921-04-13;2001-08-23
Frank Esler-Smith;1948-06-05;1991-03-01
Frank Farrell (musician);['1947-03-31', '1948-03-31'];1997-07-19
Frank Fenter;1936-02-25;1983-07-21
Frank Ferera;1885-06-12;1951-06-26
Frank Foster (musician);1928-09-23;2011-07-26
Frank Froeba;None;1981-02-16
Frank Gagliardi;1931-11-16;['2011-02-06', '2011-02-16']
Frank Gasperik;1942-11-05;2007-05-03
Frank Glazer;1915-02-19;2015-01-13
Frank Guarrera;1923-12-03;2007-11-23
Frank H. Losey;1870-03-18;1931-05-03
Frank Harte;1933-05-14;2005-06-27
Frank Haynes (musician);1928-10-08;1965-11-30
Frank Herbert Mason;1921-02-20;2009-06-16
Frank Hovington;1919-01-09;1982-06-21
Frank Howes;1891-04-02;1974-09-28
Frank Hutchens;1892-01-15;1965-10-18
Frank Hutchison;1891-03-20;1945-11-09
Frank Kidson;1855-11-15;1926-11-07
Frank Kovanda;1904-09-14;1993-04-21
Frank L. Ryerson;1905-07-03;1995-05-15
Frank La Forge;1879-10-22;1953-05-05
Frank Loesser;1910-06-29;1969-07-28
Frank Loverde;1947-11-30;1990-12-20
Frank Lowe;1943-06-24;2003-09-19
Frank Mantooth;1947-04-11;2004-01-30
Frank Marocco;1931-01-02;2012-03-03
Frank Marshall (pianist);1883-11-28;1959-05-29
Frank Melrose;1907-11-26;1941-09-01
Frank Morgan (musician);1933-12-23;2007-12-14
Frank Mullings;1881-03-10;1953-05-19
Frank Navetta;1962-03-06;2008-10-31
Frank O'Donovan;1900-10-10;1974-06-28
Frank Panella;1878-01-14;1953-05-13
Frank Parker (singer);1903-04-29;1999-01-10
Frank Parr (musician);1928-06-01;2012-05-08
Frank Patterson;1938-10-05;2000-06-10
Frank Proffitt;1913-06-01;1965-11-24
Frank Reed (singer);1954-09-16;2014-02-26
Frank Rehak;1926-07-06;1987-06-22
Frank Roman;1877-03-03;1928-12-19
Frank Schlesinger;1871-05-11;1943-07-10
Frank Signorelli;1901-05-24;1975-12-09
Frank Simon Hofmann;1916-12-27;1989-04-13
Frank Sinatra;1915-12-12;1998-05-14
Frank Skinner (composer);1897-12-31;1968-10-09
Frank Socolow;1923-09-18;1981-04-30
Frank Stokes (musician);1888-01-01;1955-09-12
Frank Strazzeri;1930-04-24;2014-05-09
Frank Valdor;1937-05-27;2013-08-05
Frank Valentino;None;1991-06-14
Frank Vicari;1931-04-11;2006-10-20
Frank Wappat;1930-02-17;2014-02-17
Frank Warner (folklorist);1903-04-05;1978-02-27
Frank Watkins (musician);1968-02-19;2015-10-18
Frank Weir;1911-01-30;1981-05-12
Frank Welsman;1873-12-20;1952-07-02
Frank Wess;1922-01-04;2013-10-30
Frank Westphal;1889-06-15;1948-11-23
Frank Wilson (musician);1940-12-05;2012-09-27
Frank Wright (jazz musician);1935-07-09;1990-05-17
Frankie Carle;1903-03-25;2001-03-07
Frankie Ford;1939-08-04;2015-09-28
Frankie Gaye;['1941-11-05', '1941-11-15'];2001-12-30
Frankie Jaxon;1897-03-03;1953-05-15
Frankie Kao;1950-02-28;2014-02-17
Frankie Kennedy;1955-09-30;1994-09-19
Frankie Knuckles;1955-01-18;2014-03-31
Frankie Laine;1913-03-30;2007-02-06
Frankie Lee (musician);1941-04-29;2015-04-24
Frankie Lee Sims;1917-04-30;1970-05-10
Frankie Lymon;1942-09-30;1968-02-27
Frankie Masters;1904-04-12;1990-10-28
Frankie Newton;1906-01-04;1954-03-11
Frankie Randall (singer);1938-01-11;2014-12-28
Frankie Ruiz;1958-03-10;1998-08-09
Frankie Trumbauer;1901-05-30;1956-06-11
Frankie Vaughan;1928-02-03;1999-09-17
Frankie Yankovic;1915-07-28;1998-10-14
Franklin Delano Williams;1947-06-27;1993-03-22
Franky Gee;1962-02-19;2005-10-22
Franny Beecher;1921-09-29;2014-02-24
František Brož;1896-04-10;1962-07-21
František Domažlický;1913-05-13;1997-10-29
František Martin Pecháček;1763-11-10;1816-09-23
František Maxián;1907-11-09;1971-01-18
František Sláma (musician);1923-11-19;2004-05-05
Frantz Jehin-Prume;1839-04-18;1899-05-29
Franz Allers;1905-08-06;1995-01-26
Franz Anton Ries;1755-11-10;1846-11-01
Franz Asplmayr;1728-04-01;1786-07-29
Franz Bendel;1833-03-23;1874-07-03
Franz Benteler;1925-06-01;2010-03-12
Franz Betz;1835-03-19;1900-08-11
Franz Bornschein;1879-02-10;1948-06-08
Franz Brendel;1811-11-26;1868-11-25
Franz Cramer;None;1848-08-01
Franz Crass;1928-02-09;2012-06-23
Franz Egenieff;1874-05-31;1949-06-11
Franz Fehringer;1910-09-07;1988-03-15
Franz Ferenczy;None;1881-02-27
Franz Jackson;1912-11-01;2008-05-06
Franz Josef Degenhardt;1931-12-03;2011-11-14
Franz Kelch;1915-11-01;2013-06-05
Franz Kneisel;1865-01-26;1926-03-26
Franz Pecháček;1793-07-04;1840-09-15
Franz Ries;1846-04-07;1932-01-20
Franz Rummel;1853-01-11;1901-05-02
Franz Salmhofer;1900-01-22;1975-09-22
Franz Völker;1899-03-31;1965-12-04
Franz Wasner;1905-12-28;1992-07-21
Franz Xaver Chwatal;1808-06-19;1879-06-24
Franz Xaver Gebel;None;1843-05-03
Franz Xaver Pentenrieder;1813-02-06;1867-07-17
Franz Xaver Witt;1834-02-09;1888-12-02
Franz von Vecsey;1893-03-23;1935-04-05
Franziska Boas;1902-01-08;1988-12-22
Franziska Stading;None;1836-02-08
Franzl Lang;1930-12-28;2015-12-06
François-Louis Henry;1786-05-12;1855-02-22
François Bazin;1816-09-04;1878-07-02
François Benoist;1794-09-10;1878-05-06
François Dauverné;1799-02-16;1874-11-04
François Deguelt;1932-12-04;2014-01-22
François Héraly;None;1920-07-22
François Lays;1758-02-14;1831-03-27
François Ovide;None;2002-05-29
François Prume;1816-06-03;1849-07-14
François Rebel;1701-06-19;1775-11-07
François Schubert;1808-07-22;1878-04-12
François Wartel;1806-04-03;1882-08-03
François van Campenhout;1779-02-05;1848-04-24
Françoise Renet;1924-05-20;1995-03-23
Françoise Rosay;1891-04-19;1974-03-28
Françoys Bernier;1927-07-12;1993-02-03
Freaky Tah;1971-05-14;1999-03-28
Fred Sonic Smith;1949-09-14;1994-11-04
Fred Anderson (musician);1929-03-22;2010-06-24
Fred Below;1926-09-16;1988-08-14
Fred Bertelmann;1925-10-07;2014-01-22
Fred Braceful;1938-05-02;1995-03-17
Fred Cairns;None;1896-04-01
Fred Carter Jr.;1933-12-31;2010-07-17
Fred Chichin;1954-05-01;2007-11-28
Fred Cockerham;1905-11-03;1980-07-08
Fred Crapper;1909-03-04;1976-06-12
Fred E. Ahlert;1892-09-19;1953-10-20
Fred Ebb;1928-04-08;2004-09-11
Fred Fisher;1875-09-03;1942-01-14
Fred Ford (musician);1930-02-14;1999-11-26
Fred Godfrey;1880-09-17;1953-02-22
Fred Grossinger;1936-01-01;1995-11-21
Fred Guy;1897-05-23;1971-12-22
Fred Herko;1936-02-23;1964-10-27
Fred Ho;1957-08-10;2014-04-12
Fred Hobbs;1841-12-17;1920-05-13
Fred Holstein;1942-12-12;2004-01-12
Fred Hunt (musician);1923-09-21;1986-04-25
